CNPJ,Razao Social,Fundacao,Cidade,Apta,Telefone,Email
01375355000128,EMPREITEIRA PREST SERVICE LTDA,1996-08-09,CATAGUASES,Nao,(32) 32178834 | (32) 32181664,CONTABILIDADE@KSCONTABIL.COM.BR
00644253000521,C.W. ANSOLIN RECURSOS HUMANOS LTDA,2007-11-14,UBERLANDIA,Nao,(34) 32124444,JAFCONTABIL@TRIANG.COM.BR
01438148000175,ROTA PRESTACAO DE SERVICOS LTDA,1996-09-18,ITACARAMBI,Sim,(38) 36131721,WILIUOLIVEIRA@IG.COM.BR
00073881000413,VAHR - CONSULTORIA E TERCEIRIZACAO EM TECNOLOGIA LTDA,2016-04-29,BELO HORIZONTE,Sim,(51) 33928323,CARLOS@GLOBALCONTABILIDADE.COM.BR
00741195000201,ANCORA SERVICOS EMPRESARIAIS LTDA,1995-08-16,RIO DE JANEIRO,Nao,(21) 2231716,ANCORA@ANCHOR.COM.BR
00439121000134,LUCKY - SERVICOS DE LIMPEZA E CONSERVACAO LTDA.,1995-01-20,AREAL,Nao,(24) 02435240,LASSERV@PETRONLINE.COM.BR
01188258000479,INOVARHE TRABALHO TEMPORARIO LTDA,2006-09-11,SOROCABA,Nao,(15) 32711000 | (15) 32711000,contato@fiscolexonline.com.br
00108923000161,NATURAL RECURSOS HUMANOS LTDA,1994-07-08,SAO PAULO,Nao,(11) 31044619,contband.uniao@terra.com.br
00078599002391,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2018-07-04,DIVINOPOLIS,Nao,(31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
01122115000200,SERV PRESS SERVICOS EMPRESARIAIS LTDA,1999-01-12,GUARULHOS,Nao,(11) 64683703,grrg@ig.com.br
01460921000108,XWORK RECURSOS HUMANOS LTDA,1996-09-16,SOROCABA,Sim,(15) 32639930,ALCEURH@GMAIL.COM
00256795000101,UNNICOS MAO DE OBRA E CONSTRUCOES LTDA,1994-10-19,SANTO ANDRE,Nao,(19) 35552894,OCMFA@IG.COM.BR
00443635000163,CLICK PROMOCOES E EVENTOS EIRELI,1995-02-14,SAO PAULO,Nao,(11) 21458888,LUCILIA.DIRETORIA@CONTABILNICOLINI.COM.BR
00973749002401,TOP SERVICE SERVICOS E SISTEMAS S/A,2019-06-25,VITORIA,Sim,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
00973749001006,TOP SERVICE SERVICOS E SISTEMAS S/A,2011-02-11,RIBEIRAO PRETO,Nao,(11) 33826539 | (11) 33826579,vanessa.oliveira@allis.com.br
01195780000135,ALPHA WORK RECURSOS HUMANOS LTDA,1996-05-15,SAO PAULO,Nao,(11) 36286946,sonia@alphawork.com.br
00489793000588,LUANDRE SERVICOS TEMPORARIOS LTDA,2005-07-29,BARUERI,Nao,(11) 32314688,contabil@luandre.com.br
00548457000135,PERFIL APOIO E RECURSOS HUMANOS LTDA,1995-04-12,BELO HORIZONTE,Sim,(31) 33322125,DIRETORIA@PERFILAPOIO.COM.BR
00275110000166,PROATIVA TRABALHO TEMPORARIO LTDA,1994-10-25,SAO PAULO,Sim,(11) 34647100,LUIZ.TESTA@PROATIVARH.COM.BR
00235854000157,LIDER RH LTDA,1994-10-10,UBERABA,Sim,(34) 3322044,gruposp@.grupoempresarial.com.br.
01258186000146,CIMADE COMERCIAL E EMPREITEIRA LTDA,1996-06-07,CARAGUATATUBA,Nao,(12) 38878074 | (12) 38879802,chiquinhocontabilidade@uol.com.br
01460921000604,XWORK RECURSOS HUMANOS LTDA,2008-01-10,TATUI,Nao,(15) 32192300 | (15) 32192300,diretoriacomercial@augerh.com.br
01316715000110,H P SERVICOS TEMPORARIOS LTDA,1996-07-11,BRAGANCA PAULISTA,Nao,(11) 40337776,hpserv@hpserv.com.br
00741195000392,ANCORA SERVICOS EMPRESARIAIS LTDA,2009-04-14,RIBEIRAO PRETO,Nao,(16) 36361891,CONTLEX@BUSINESS.ORG.BR
00973749001197,TOP SERVICE SERVICOS E SISTEMAS S/A,2011-02-11,SAO VICENTE,Nao,(11) 33826539 | (11) 33826579,vanessa.oliveira@allis.com.br
00601784000103,SANCHES & FREITAS RECURSOS HUMANOS LTDA.,1995-05-08,SAO PAULO,Sim,(11) 38044520 | (11) 38045090,EVANDO@HGRH.COM.BR
00480379000184,SKIPPER RECURSOS HUMANOS LTDA,1995-02-21,RIO DE JANEIRO,Sim,(21) 22247300,ADMINISTRACAO.RF@RHSKIPPER.COM.BR
00388340000212,FIRE STAR TRABALHO TEMPORARIO LTDA,1995-03-17,SAO PAULO,Nao,(11) 36416684,FIRESTAR@UOL.COM.BR
00227226000120,CONDONAL COMERCIO E SERVICOS LTDA,1994-10-04,VITORIA,Sim,(27) 33457441,MAYARAOLIVEIRAMOTA@GMAIL.COM
01395176001710,RHBRASIL SERVICOS TEMPORARIOS LTDA,2003-07-17,RIO DE JANEIRO,Sim,(47) 34314700,CARLA.VENANCIO@RHBRASIL.COM.BR
00209771000193,MERIDIONAL SERVICOS LTDA,1994-09-22,RIO DE JANEIRO,Sim,(24) 88380028,VIZEUPC44@GMAIL.COM
00626951000170,YES MAO DE OBRA TEMPORARIA LTDA.,1995-05-24,SAO PAULO,Nao,(11) 22976526 | (11) 20315167,advance@uol.com.br
00618147000140,NEW SERVICE ASSESSORIA E EVENTOS LTDA,1995-05-18,SAO PAULO,Sim,(11) 20822133,NEWSERVICE3@YAHOO.COM.BR
00439965000347,PUR EQUIPAMENTOS INDUSTRIAIS LTDA,2013-05-16,VITORIA,Nao,(31) 30458222 | (31) 30458240,PUR@PUR.IND.BR
00388340000131,FIRE STAR TRABALHO TEMPORARIO LTDA,1995-01-02,SAO PAULO,Sim,(11) 74935093,ANDERSON@FERNANDESMANTOVANI.COM.BR
00857492000721,SOGAMAX DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,2023-12-18,CAMPOS DOS GOYTACAZES,Sim,(22) 27852614,JOAO@SOGAMAX.COM.BR
00591759000196,ASSESSORIA EM RECURSOS HUMANOS GR CONNECTA LTDA,1995-04-28,SAO PAULO,Nao,(11) 61928662 | (11) 61928662,manoel@vipsconsultores.com.br
00973749000620,TOP SERVICE SERVICOS E SISTEMAS S/A,2008-01-09,JUNDIAI,Nao,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
00026646000148,EMPREITEIRA CONSTRUNORTE LTDA,1994-07-08,INDAIATUBA,Nao,(19) 38345757,serta.adm@superig.com.br
01403703000123,CAIC SERVICOS TEMPORARIOS LTDA,1996-08-23,SAO PAULO,Sim,(11) 31202552,DIRETORIA@CAIC.COM.BR
00846829000100,DAYNELE PRESTACAO DE SERVICOS S/S LTDA,1995-09-14,ITAQUAQUECETUBA,Nao,(11) 65662157 | (11) 65662157,d.s.cont@terra.com.br
01253339000405,PARCERIA SERVICOS TEMPORARIOS LIMITADA,2013-08-22,CAMPOS DOS GOYTACAZES,Nao,(21) 25091158,financeiro@parceriaconsult.com.br
00882962000200,MAIS MULTISERVICOS LTDA.,2011-02-15,VITORIA,Nao,(27) 32283044 | (27) 32283044,mais@maismultiservcos.com.br
00973749002088,TOP SERVICE SERVICOS E SISTEMAS S/A,2015-01-28,PRAIA GRANDE,Sim,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
01188258000126,INOVARHE TRABALHO TEMPORARIO LTDA,1996-05-08,ITAPETININGA,Nao,(15) 32711000 | (15) 32711000,contato@fiscolexonline.com.br
01296671000104,SEMPRE TERCEIRIZACAO EM SERVICOS GERAIS LTDA,1996-07-04,CAMPINAS,Nao,(19) 37276979,CNPJ.CADASTRO@GPSSA.COM.BR
00424182000128,WORLD CLEAN SERVICOS GERAIS LTDA,1995-01-31,CAMPINAS,Sim,(19) 32799470,esacol@esacol.com.br
00685087000188,HOLDING SERVICOS EMPRESARIAIS S/S LTDA,1995-07-03,SAO BERNARDO DO CAMPO,Nao,(11) 41257272,HOLDING@TERRA.COM.BR
01379954000209,ALBINA CONSERVACAO E SERVICOS TECNICOS LTDA,2005-08-17,VITORIA,Sim,(31) 32781613 | (31) 32715488,ROBERTOABC@GMAIL.COM
00558847000196,J&M PRESTACAO DE SERVICOS LTDA,1995-04-18,BETIM,Nao,(31) 25114439,CONFIAS@CLICK21.COM.BR
00002252000150,SP CONSULTORIA EM RH LTDA,1994-05-09,BRAGANCA PAULISTA,Nao,(11) 40325818,SERTEC@SERTEC.COM
00980670000111,CONSERVADORA ARANAS LTDA,1995-12-28,MONTES CLAROS,Sim,(38) 32147927,CONTABILIDADENORDESTE@HOTMAIL.COM
01474763000137,TAC WORK SERVICOS TEMPORARIOS LTDA,1996-10-10,EXTREMA,Nao,(35) 34351403,novaera@exnet.com.br
01397080000123,HUNTERS CONSULTORIA EMPRESARIAL LTDA,1996-05-30,RIO DE JANEIRO,Nao,(21) 38619093 | (21) 22212618,correio@grupomcb.com.br
00078599001581,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2008-10-03,RIO DE JANEIRO,Nao,(31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
00169192000164,EMPREITEIRA ELDORADO LTDA,1994-08-29,BELO HORIZONTE,Nao,(31) 35882525,JOSEMIR1979@YAHOO.COM.BR
00973749000891,TOP SERVICE SERVICOS E SISTEMAS S/A,2010-01-07,SAO PAULO,Sim,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
00694499000184,INOVAR CONSULTORIA EM RECURSOS HUMANOS E ASSESSORIA EMPRESARIAL LTDA,1995-06-29,RIO DE JANEIRO,Nao,(21) 25687976 | (21) 25670660,inova.cont.adm@terra.com.br
00289896000170,EMPRELIMP SERVICOS GERAIS LTDA,1994-11-10,RIO DE JANEIRO,Nao,(21) 33697703,murilo_tasca@uol.com.br
00289809000185,AFAMAR ASSESSORIA EM RECURSOS HUMANOS LTDA,1994-11-08,RIO DE JANEIRO,Sim,(21) 30945450,COMERCIAL@AFAMAR.COM.BR
00973749000972,TOP SERVICE SERVICOS E SISTEMAS S/A,2011-02-11,SAO PAULO,Nao,(11) 33826539 | (11) 33826579,vanessa.oliveira@allis.com.br
00980630000170,C.M.V. CONSTRUTORA LTDA,1995-12-28,ITUIUTABA,Sim,(34) 32610418,ESCRITITUIUTABA@NETSITE.COM.BR
00741195000120,ANCORA SERVICOS EMPRESARIAIS LTDA,1995-08-04,SAO PAULO,Nao,(11) 67636964,paulo@anchor.com.br
00078599001077,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2006-03-27,SAO PAULO,Nao,(31) 21028700 | (31) 21028706,CONTABILIDADE@GERENCIALBRASIL.COM.BR
01131698000147,ESP SERVICOS TEMPORARIOS LTDA,1996-03-12,NOVA INDEPENDENCIA,Nao,(19) 25135901,contato@stempresarial.com.br
00286652000134,VERTICE CONSULTORIA EM RECURSOS HUMANOS LTDA,1994-10-30,RIO DE JANEIRO,Nao,(21) 22530128,verticerh@yahoo.com.br
00807056000233,ICQ SERVICEINSPECOES CONTROLE DA QUALIDADE ASSESSORIA E CONSULTORIA LTDA,2005-09-29,IPATINGA,Nao,(31) 38425600,CONTULHOA@VELOXMAIL.COM.BR
00078599002553,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2018-10-30,POCOS DE CALDAS,Nao,(31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
00167316000172,G & V EMPREGOS TEMPORARIOS LTDA,1994-08-19,SAO PAULO,Nao,(11) 32535472 | (11) 59254767,JEAN_CONTADOR@IBEST.COM.BR
00460400000180,SIGMA DELTA LTDA.,1995-02-06,SAO PAULO,Nao,(11) 22962593 | (11) 22966224,jwclrow@uol.com.br
00513628000190,TERSEL SERVICOS TEMPORARIOS LTDA,1995-03-23,BARUERI,Nao,(11) 41952527 | (11) 41952527,celso@terselrh.com.br
00818917000106,SERSATI MULTI SERVICOS LOCACAO DE MAO DE OBRA LTDA,1995-09-06,RIO DE JANEIRO,Nao,(21) 64840382,NR.CONTABILIDADE@LIVE.COM
01060802000150,NOVA RECURSOS HUMANOS LTDA,1996-02-02,MOGI DAS CRUZES,Sim,(11) 47273828,NOVAEMPREGOS@NOVAEMPREGOS.COM.BR
00145153000127,GTS CONSULTORIA DE RECURSOS HUMANOS E SERVICOS LTDA,1994-08-03,RIO DE JANEIRO,Nao,(21) 7564973,sigma@skydome.net.com.br
00952800000102,FLEX ASSESSORIA E ZELADORIA LTDA - EM RECUPERACAO JUDICIAL,1995-07-04,RIO DE JANEIRO,Sim,(21) 38606826,GERENTE.FINANCEIRO@FLEXAEZ.COM.BR
00078599000186,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,1994-05-27,BELO HORIZONTE,Nao,(31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
01264661000197,DUEST RECURSOS HUMANOS LTDA,1996-03-13,SANTO ANDRE,Nao,(11) 49946454,duest@terra.com.br
00186472000342,REALMA MANUTENCAO E SERVICOS LTDA,2007-07-04,SAO GONCALO DO RIO ABAIXO,Nao,(31) 37612533 | (31) 37617635,REALMA.CONTABILIDADE@GMAIL.COM
01390618000178,PROFER SERVICOS DE LOCACAO DE MAO DE OBRA EM TRATAMENTO DE RESIDUOS INDUSTRIAIS LTDA,1996-08-16,DIADEMA,Sim,(11) 22152678 | (11) 29147362,EDUSILVA35@GMAIL.COM
00130566000138,R. CAMILO MAO DE OBRA TEMPORARIA LTDA,1994-07-15,BAURU,Nao,(14) 31081234,ROGERIO.CAMILO2010@YAHOO.COM.BR
00157999000187,FRANCISCO L. ALVES EMPREITEIRA,1994-08-10,SAO PAULO,Nao,(11) 65556776 | (11) 65556776,queensassessoria@uol.com.br
00628595000396,SANTA LIMP SERVICOS DE PORTARIA E LIMPEZA LTDA,2002-11-29,MOGI DAS CRUZES,Nao,(11) 46550855,luguiassessoria@uol.com.br
01096381000117,CONESUL CONSULTORIA E RECURSOS HUMANOS LTDA,1996-03-05,SANTO ANDRE,Nao,(11) 49797979,Conesul_oeste@conesulrh.com.br
00491604000188,USE & SERVICE RECURSOS HUMANOS LTDA,1995-02-16,RIO DE JANEIRO,Nao,(21) 30721087,joansla@uol.com.br
01140147000140,PTT SERVICOS EMPRESARIAIS LTDA,1996-04-01,SAO PAULO,Sim,(11) 31233030,ANDREA.FE@POA.PERFORMANCE.COM.BR
01007440000133,JAF EMPREITEIRA LTDA,1996-01-10,RIBEIRAO GRANDE,Nao,(15) 35425511 | (15) 35425511,escritoriocjm@yahoo.com.br
00894210000170,GUIAMA ADMINSTRACAO DE SERVICOS LTDA,1995-11-01,ITAUNA,Nao,(37) 32423401,IVAN@QUALIMAN-SERVICOS.COM.BR
01373738000167,INCITEC INDUSTRIA LTDA,1996-08-09,MATOZINHOS,Nao,(31) 37122658,CONTABSIMONE@FLOPINFO.COM.BR
00611656000221,NATALINO FERREIRA MENDES CONSTRIUCOES,2007-02-13,JUNDIAI,Nao,(11) 48150966,enatalino@uol.com.br
00770937001118,RIOVIVO AMBIENTAL LTDA,2021-04-13,CATANDUVA,Sim,(41) 30130666,MAGNA@MARKSIST.COM.BR
00322507000161,"TECSEL SELECAO, MAO DE OBRA TEMPORARIA E TERCEIRIZACAO DE SERVICOS LTDA",1994-11-25,JUNDIAI,Sim,(11) 45214240 | (11) 99167821,ROBERTO@TECTEMP.COM.BR
00988817000110,PROATIVA RECURSOS HUMANOS LTDA,1995-12-27,SAO PAULO,Sim,(11) 34647100,LUIZ.TESTA@PROATIVARH.COM.BR
00815592000108,TOTAL RECURSOS HUMANOS LTDA,1995-09-13,GUARULHOS,Nao,(11) 64091400,contabilex01@uol.com.br
01179630000308,LUATAL SERVICOS ADMINISTRATIVOS LTDA,2010-05-13,RIO GRANDE DA SERRA,Nao,(11) 43306310,legalizacao@assistcontjur.com.br
00805451000104,A. C. CARDOSO DE PAIVA LOCACOES,1995-08-21,RIO DE JANEIRO,Nao,(21) 31575781,rodrigolga@uol.com.br
01006803000116,VITENGI ADMINISTRACAO DE SERVICOS LTDA,1996-01-03,SAO BERNARDO DO CAMPO,Nao,(11) 41259577,DEPTO.LEGALIZACAO@MACMATRIZ.COM.BR
01395176000403,RHBRASIL SERVICOS TEMPORARIOS LTDA,1998-05-12,RIO CLARO,Sim,(47) 34314700 | (47) 34314760,CARLA.VENANCIO@RHBRASIL.COM.BR
00569869000151,FATTORE ASSESSORIA E SERVICOS LTDA,1995-04-10,RIO DE JANEIRO,Nao,(21) 26555258 | (21) 27568750,DENISESANTOS42@HOTMAIL.COM
00962059000160,CONGER SERVICOS E COMERCIO LTDA,1995-12-11,SAO PAULO,Nao,(11) 55242877,legalizacao@ncsistema.com.br
00973749000115,TOP SERVICE SERVICOS E SISTEMAS S/A,1995-12-18,SAO PAULO,Sim,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
00489793000235,LUANDRE SERVICOS TEMPORARIOS LTDA,1996-05-14,SAO PAULO,Nao,(11) 32310999,andre@luandre.com.br
00277106002008,PERSONAL SERVICE RECURSOS HUMANOS E ASSESSORIA EMPRESARIAL LTDA,2013-11-20,CONGONHAS,Sim,(31) 25154745,MARCIO@MCXSOLUCOESCONTABEIS.COM.BR
00973749001430,TOP SERVICE SERVICOS E SISTEMAS S/A,2011-04-08,RIO DE JANEIRO,Sim,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
01290412000176,ESPERANCA EFETIVOS E TEMPORARIOS LTDA,1996-05-08,SAO PAULO,Sim,(11) 20230297,CONTATO@DESTAKE.COM
00510249000147,LAY - OUT CENATTER MERCHANDISING LTDA,1995-03-24,BELO HORIZONTE,Nao,(31) 2955262,LAYOUT@TASK.COM.BR
00155050000148,PREMIUM PERSONAL DRIVER LTDA,1994-08-03,SAO PAULO,Sim,(11) 38736500,MARCIA@PREMIUMKM.COM.BR
01076505000100,BOM TEMPO SERVICOS TEMPORARIOS E EFETIVOS LTDA,1996-02-22,BARUERI,Sim,(11) 11111111,ANA@ACERTACONTABIL.COM.BR
01438361000187,NEW WORK SERVICOS TEMPORARIOS LTDA,1996-09-20,CONTAGEM,Nao,(31) 3954583,nework.bh@zaz.com.br
00146971000144,ATENAS MAO DE OBRA TEMPORARIA LTDA,1994-08-11,ITAPEVI,Nao,(11) 31058771,controlcontabil@ig.com.br
01195780000305,ALPHA WORK RECURSOS HUMANOS LTDA,2009-07-15,SAO PAULO,Nao,(11) 31513893 | (11) 32141504,sergio@dvisaocontabil.com.br
01004582000147,PRECISA RECURSOS HUMANOS LTDA,1995-12-29,SAO PAULO,Nao,(11) 55757599,RWR@RWRCONTABIL.COM.BR
01403703000476,CAIC SERVICOS TEMPORARIOS LTDA,2001-06-06,SAO PAULO,Nao,(11) 36415549,diretoria@caic.com.br
00000058000135,TALENTO SERVICOS E MAO DE OBRA LTDA,1994-06-17,SAO PAULO,Nao,(11) 39231650,ADRIANA@NOVASKALA.COM.BR
00016911000107,TRANSLIC LOCADORA DE SERVICOS LTDA,1994-05-27,SAO CAETANO DO SUL,Nao,(11) 61629661,SOCORROCONTABIL@TERRA.COM.BR
00078599002120,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2017-06-29,SAO PAULO,Nao,(31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
00073881000332,VAHR - CONSULTORIA E TERCEIRIZACAO EM TECNOLOGIA LTDA,2016-02-12,RIO DE JANEIRO,Sim,(51) 34716307,CARLOS@GLOBALCONTABILIDADE.COM.BR
00186472000504,REALMA MANUTENCAO E SERVICOS LTDA,2014-12-11,JECEABA,Nao,(31) 37612533,JOEL.MARCOS@REALMA.COM.BR
00078599002472,GERENCIAL BRASIL PARTICIPACOES E EMPREENDIMENTOS LTDA,2018-10-30,JUIZ DE FORA,Nao,(31) 21028700,CONTABILIDADE@GERENCIALBRASIL.COM.BR
01194833000101,PARCERIA CONSULTORIA EMPRESARIAL LTDA,1996-04-18,RIO DE JANEIRO,Sim,(21) 22209853,FINANCEIRO@PARCERIACONSULT.COM.BR
01060802000311,NOVA RECURSOS HUMANOS LTDA,2013-02-18,SUZANO,Nao,(11) 47994815,alves@escritorioalves.com.br
00023204000148,ATELIE DE PROMOCOES SERVICOS TEMPORARIOS ASSOC LTDA,1994-06-30,SAO PAULO,Nao,(11) 55942713,legal2@azeplancontabil.com.br
00580711000182,SEVERINO ANTONIO DA SILVA EMPREITEIRA,1995-04-25,SUZANO,Nao,(11) 26252948 | (11) 26252948,anaiascontabil@ig.com.br
00973749003564,TOP SERVICE SERVICOS E SISTEMAS S/A,2025-04-25,BRUMADINHO,Sim,(11) 21978888,CNPJ.CADASTRO@GPSSA.COM.BR
00672537000106,SIMONSEN SERVICOS EFETIVOS LTDA,1995-03-29,RIO DE JANEIRO,Nao,(21) 38401642,JCMARANHAO@JFMARANHAO.COM.BR
01240836000126,JBM EMPREITEIRA LTDA,1996-06-03,RIO DE JANEIRO,Nao,(21) 38523705,jbm.empreiteira@ig.com.br
00220548000490,S P G RECURSOS HUMANOS LTDA,1998-10-23,SOROCABA,Nao,(15) 2251150,baptistella@terra.com.br
01152044000108,ISAIAS MORATO DE MELLO,1996-04-12,TAQUARITINGA,Nao,(16) 32523029,escritorio.petrucelli@uol.com.br
00731883000100,SUPORT SERVICOS DE MAO DE OBRA LTDA.,1995-08-01,SANTOS,Nao,(13) 32312974,CONTADORES@FERNANDESEDUARTE.OM.BR
00921928000370,RH BUILD UP  - TERCEIRIZACAO E ASSESSORIA EM RECURSOS HUMANOS LTDA - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,2011-04-07,SAO PAULO,Nao,(11) 46157700,LETICIA.COSTA@TCIBPO.COM
00844665000181,EMPREITEIRA SANTANA & ALVES S/C LTDA,1995-09-21,CRAVINHOS,Nao,(16) 6104337,santanaealves@bol.com.br
01395176002287,RHBRASIL SERVICOS TEMPORARIOS LTDA,2003-08-06,CAMPINAS,Nao,(47) 34314700,CARLA.VENANCIO@RHBRASIL.COM.BR
